name,name_kr,artist,label,type,level,bg_img
Murdoch vs Otada,Murdoch vs Otada,ESPITZ vs WONDERTRAVELER Project,s,s,13,https://piugame.com/data/song_img/f015e7959a852b83b86dd24936870a1e.png
Discord,Discord,QWER,s,s,19,https://piugame.com/data/song_img/468a5036181f048540d85bfb210b4486.png
Discord,Discord,QWER,s,s,13,https://piugame.com/data/song_img/468a5036181f048540d85bfb210b4486.png
Bad Apple!! feat. Nomico,Bad Apple!! feat. Nomico,Masayoshi Minoshima,s,s,09,https://piugame.com/data/song_img/1c6e00d20fd612097ff9cae790e16827.png
Murdoch vs Otada,Murdoch vs Otada,ESPITZ vs WONDERTRAVELER Project,d,d,24,https://piugame.com/data/song_img/f015e7959a852b83b86dd24936870a1e.png
Beethoven Virus,Beethoven Virus,BanYa,s,s,07,https://piugame.com/data/song_img/a7b3d3aadddc0fce1160f509054f1686.png
Queencard,Queencard,(G)I-DLE,s,s,20,https://piugame.com/data/song_img/eb729c74a7b424a6598e6a18b5025346.png
Pneumonoultramicroscopicsilicovolcanoconiosis ft. Kagamine Len/GUMI,Pneumonoultramicroscopicsilicovolcanoconiosis ft. Kagamine Len/GUMI,DASU,s,s,16,https://piugame.com/data/song_img/3f60d49fc1d14e5cfa51e8c90eec847b.png
8 6,8 6,DASU,s,s,20,https://piugame.com/data/song_img/5d936b10017adb5582723dec723351d5.png
Discord,Discord,QWER,d,d,17,https://piugame.com/data/song_img/468a5036181f048540d85bfb210b4486.png
Discord,Discord,QWER,s,s,11,https://piugame.com/data/song_img/468a5036181f048540d85bfb210b4486.png
DO or DIE,DO or DIE,xikers,d,d,19,https://piugame.com/data/song_img/820b7fbc1dcc0362d32c5745cd0b0d2c.png
PANDORA,PANDORA,MAVE:,s,s,07,https://piugame.com/data/song_img/45a186e942deff08bc88bf9141e2d1dd.png
Appassionata,Appassionata,Cashew x D_AAN x Jehezukiel,s,s,19,https://piugame.com/data/song_img/8b8164ae45412112841142145c7067d3.png
DO or DIE,DO or DIE,xikers,s,s,20,https://piugame.com/data/song_img/820b7fbc1dcc0362d32c5745cd0b0d2c.png
Earendel,Earendel,Palami feat.neur6sia,s,s,17,https://piugame.com/data/song_img/972549a9c03d8cc569270252aa405cf8.png
Bubble,Bubble,STAYC,s,s,16,https://piugame.com/data/song_img/9b71130dbd5410cfb920d6a7fa4e0615.png
Big Daddy,Big Daddy,USAO,s,s,19,https://piugame.com/data/song_img/3e3f713ed842b5e1efb9bb8e7c0d1a4d.png
DO or DIE,DO or DIE,xikers,s,s,12,https://piugame.com/data/song_img/820b7fbc1dcc0362d32c5745cd0b0d2c.png
Dancing ,Dancing ,Said ,s,s,16,https://piugame.com/data/song_img/f48667b834fd130175badd24da2c911e.png
Gargoyle - FULL SONG -,Gargoyle - FULL SONG -,Sanxion7,s,s,21,https://piugame.com/data/song_img/9e54f9ac19a9725e63a85bad034b662d.png
Nxde,Nxde,(G)I-DLE,s,s,06,https://piugame.com/data/song_img/7b6237f4583cab1dd1a1b1f85264eaa5.png
Bubble,Bubble,STAYC,s,s,13,https://piugame.com/data/song_img/9b71130dbd5410cfb920d6a7fa4e0615.png
Switronic,Switronic,SHK,s,s,15,https://piugame.com/data/song_img/4581e710e822e320fddfda44814b61b1.png
Dancing ,Dancing ,Said ,s,s,20,https://piugame.com/data/song_img/f48667b834fd130175badd24da2c911e.png
Big Daddy,Big Daddy,USAO,s,s,21,https://piugame.com/data/song_img/3e3f713ed842b5e1efb9bb8e7c0d1a4d.png
After LIKE,After LIKE,IVE,s,s,13,https://piugame.com/data/song_img/ed7e43efd28eba896f90b94ff1ebc06f.png
DO or DIE,DO or DIE,xikers,d,d,22,https://piugame.com/data/song_img/820b7fbc1dcc0362d32c5745cd0b0d2c.png
ELEVEN,ELEVEN,IVE,s,s,06,https://piugame.com/data/song_img/e0cf19dbb807e5d3f2efa3db5ca163a0.png
Big Daddy,Big Daddy,USAO,s,s,14,https://piugame.com/data/song_img/3e3f713ed842b5e1efb9bb8e7c0d1a4d.png
Big Daddy,Big Daddy,USAO,s,s,11,https://piugame.com/data/song_img/3e3f713ed842b5e1efb9bb8e7c0d1a4d.png
Appassionata,Appassionata,Cashew x D_AAN x Jehezukiel,s,s,22,https://piugame.com/data/song_img/8b8164ae45412112841142145c7067d3.png
Bad Apple!! feat. Nomico,Bad Apple!! feat. Nomico,Masayoshi Minoshima,s,s,05,https://piugame.com/data/song_img/1c6e00d20fd612097ff9cae790e16827.png
After LIKE,After LIKE,IVE,s,s,15,https://piugame.com/data/song_img/ed7e43efd28eba896f90b94ff1ebc06f.png
ELEVEN,ELEVEN,IVE,s,s,12,https://piugame.com/data/song_img/e0cf19dbb807e5d3f2efa3db5ca163a0.png
Horang Pungryuga,Horang Pungryuga,Sangnoksu feat. HANANA,s,s,16,https://piugame.com/data/song_img/ff5e51e70c41cfb7d92c5ee7a7f4dd9c.png
Pneumonoultramicroscopicsilicovolcanoconiosis ft. Kagamine Len/GUMI,Pneumonoultramicroscopicsilicovolcanoconiosis ft. Kagamine Len/GUMI,DASU,s,s,19,https://piugame.com/data/song_img/3f60d49fc1d14e5cfa51e8c90eec847b.png
Appassionata,Appassionata,Cashew x D_AAN x Jehezukiel,s,s,16,https://piugame.com/data/song_img/8b8164ae45412112841142145c7067d3.png
Bubble,Bubble,STAYC,s,s,09,https://piugame.com/data/song_img/9b71130dbd5410cfb920d6a7fa4e0615.png
Yeo rae a,Yeo rae a,SID-SOUND,s,s,13,https://piugame.com/data/song_img/1fbb103bbc7d1a94d6e994b27c2e6b9a.png
Uh-Heung,Uh-Heung,DKZ,d,d,24,https://piugame.com/data/song_img/9095d45d33d1c8cf8495c1295604e0af.png
Appassionata,Appassionata,Cashew x D_AAN x Jehezukiel,d,d,21,https://piugame.com/data/song_img/8b8164ae45412112841142145c7067d3.png
Mahika,Mahika,The Musical Ghost,s,s,19,https://piugame.com/data/song_img/44568bfe13cdb83384df0b5b14e71e8c.png
Dancing ,Dancing ,Said ,d,d,21,https://piugame.com/data/song_img/f48667b834fd130175badd24da2c911e.png
Bubble,Bubble,STAYC,s,s,06,https://piugame.com/data/song_img/9b71130dbd5410cfb920d6a7fa4e0615.png
8 6,8 6,DASU,s,s,16,https://piugame.com/data/song_img/5d936b10017adb5582723dec723351d5.png
Mahika,Mahika,The Musical Ghost,s,s,22,https://piugame.com/data/song_img/44568bfe13cdb83384df0b5b14e71e8c.png
Mahika,Mahika,The Musical Ghost,d,d,24,https://piugame.com/data/song_img/44568bfe13cdb83384df0b5b14e71e8c.png
Rush-More,Rush-More,litmus*,d,d,23,https://piugame.com/data/song_img/89ac6afc39e1dbaf27cede9586f53f2d.png
Discord,Discord,QWER,d,d,20,https://piugame.com/data/song_img/468a5036181f048540d85bfb210b4486.png
PANDORA,PANDORA,MAVE:,s,s,11,https://piugame.com/data/song_img/45a186e942deff08bc88bf9141e2d1dd.png
Big Daddy,Big Daddy,USAO,d,d,17,https://piugame.com/data/song_img/3e3f713ed842b5e1efb9bb8e7c0d1a4d.png
Queencard,Queencard,(G)I-DLE,s,s,18,https://piugame.com/data/song_img/eb729c74a7b424a6598e6a18b5025346.png
Uh-Heung,Uh-Heung,DKZ,s,s,17,https://piugame.com/data/song_img/9095d45d33d1c8cf8495c1295604e0af.png
Mahika,Mahika,The Musical Ghost,d,d,22,https://piugame.com/data/song_img/44568bfe13cdb83384df0b5b14e71e8c.png
TOMBOY,TOMBOY,(G)I-DLE,s,s,17,https://piugame.com/data/song_img/ec342950e66150e76a00b09492dfda3c.png
Dancing ,Dancing ,Said ,d,d,17,https://piugame.com/data/song_img/f48667b834fd130175badd24da2c911e.png
DO or DIE,DO or DIE,xikers,d,d,14,https://piugame.com/data/song_img/820b7fbc1dcc0362d32c5745cd0b0d2c.png
Bubble,Bubble,STAYC,s,s,19,https://piugame.com/data/song_img/9b71130dbd5410cfb920d6a7fa4e0615.png
Queencard,Queencard,(G)I-DLE,s,s,03,https://piugame.com/data/song_img/eb729c74a7b424a6598e6a18b5025346.png
Horang Pungryuga,Horang Pungryuga,Sangnoksu feat. HANANA,s,s,12,https://piugame.com/data/song_img/ff5e51e70c41cfb7d92c5ee7a7f4dd9c.png
Etude Op 10-4,Etude Op 10-4,MAX,s,s,16,https://piugame.com/data/song_img/584749a3cecd3f4b5714df28cd502d14.png
Earendel,Earendel,Palami feat.neur6sia,s,s,22,https://piugame.com/data/song_img/972549a9c03d8cc569270252aa405cf8.png
STAGER,STAGER,Ras,s,s,17,https://piugame.com/data/song_img/07e7d5fd7daa31f830fea74250cc2186.png
Athena's Shield,Athena's Shield,Jehezukiel,s,s,20,https://piugame.com/data/song_img/e9d9f977024488f5bb31c9e203621e84.png
Teddy Bear,Teddy Bear,STAYC,s,s,09,https://piugame.com/data/song_img/5c0a9e5e699863547ef7fa8d6485fc4a.png
Nxde,Nxde,(G)I-DLE,s,s,11,https://piugame.com/data/song_img/7b6237f4583cab1dd1a1b1f85264eaa5.png
Mopemope,Mopemope,LeaF,s,s,11,https://piugame.com/data/song_img/f720e52b1bb6625bd869df634102c20b.png
GOOD NIGHT,GOOD NIGHT,Dreamcatcher,s,s,09,https://piugame.com/data/song_img/950bba94b66e30b4a33c794c204b2ac8.png
Mahika,Mahika,The Musical Ghost,s,s,16,https://piugame.com/data/song_img/44568bfe13cdb83384df0b5b14e71e8c.png
MEGAHEARTZ,MEGAHEARTZ,DJ Noriken,s,s,17,https://piugame.com/data/song_img/557ee99561f8a1522c7c87f2a4a11a4e.png
Appassionata,Appassionata,Cashew x D_AAN x Jehezukiel,s,s,25,https://piugame.com/data/song_img/8b8164ae45412112841142145c7067d3.png
Uh-Heung,Uh-Heung,DKZ,s,s,14,https://piugame.com/data/song_img/9095d45d33d1c8cf8495c1295604e0af.png
Murdoch vs Otada,Murdoch vs Otada,ESPITZ vs WONDERTRAVELER Project,s,s,09,https://piugame.com/data/song_img/f015e7959a852b83b86dd24936870a1e.png
Rush-More,Rush-More,litmus*,s,s,18,https://piugame.com/data/song_img/89ac6afc39e1dbaf27cede9586f53f2d.png
TOMBOY,TOMBOY,(G)I-DLE,s,s,05,https://piugame.com/data/song_img/ec342950e66150e76a00b09492dfda3c.png
Rush-More,Rush-More,litmus*,s,s,22,https://piugame.com/data/song_img/89ac6afc39e1dbaf27cede9586f53f2d.png
Queencard,Queencard,(G)I-DLE,d,d,16,https://piugame.com/data/song_img/eb729c74a7b424a6598e6a18b5025346.png
Mahika,Mahika,The Musical Ghost,d,d,18,https://piugame.com/data/song_img/44568bfe13cdb83384df0b5b14e71e8c.png
Bad Apple!! feat. Nomico,Bad Apple!! feat. Nomico,Masayoshi Minoshima,s,s,13,https://piugame.com/data/song_img/1c6e00d20fd612097ff9cae790e16827.png
Destr0yer,Destr0yer,sakuzyo,s,s,18,https://piugame.com/data/song_img/1cdf3c4a70abd903f51f0f9e969830ee.png
Big Daddy,Big Daddy,USAO,d,d,20,https://piugame.com/data/song_img/3e3f713ed842b5e1efb9bb8e7c0d1a4d.png
wither garden,wither garden,uma feat. Kanon Tachibana,s,s,17,https://piugame.com/data/song_img/a65ed99146745b6bb879e92af66517fb.png
Imperium,Imperium,sakuzyo,s,s,18,https://piugame.com/data/song_img/b874f35ca304ff22c3ed2ed6c5a9f8ba.png
CRUSH,CRUSH,ZEROBASEONE,s,s,07,https://piugame.com/data/song_img/9bc09f5b3630ecbfdb72ae72460e4d40.png
DO or DIE,DO or DIE,xikers,s,s,08,https://piugame.com/data/song_img/820b7fbc1dcc0362d32c5745cd0b0d2c.png
Beethoven Virus,Beethoven Virus,BanYa,s,s,12,https://piugame.com/data/song_img/a7b3d3aadddc0fce1160f509054f1686.png
MEGAHEARTZ,MEGAHEARTZ,DJ Noriken,s,s,23,https://piugame.com/data/song_img/557ee99561f8a1522c7c87f2a4a11a4e.png
MilK,MilK,Morimori Atsushi,s,s,07,https://piugame.com/data/song_img/4f6cd22fb830dcc99d53fcd91066e255.png
Euphorianic,Euphorianic,SHK,s,s,05,https://piugame.com/data/song_img/7e1af52be6d8b4e147d2a0ebbf54ef98.png
After LIKE,After LIKE,IVE,s,s,04,https://piugame.com/data/song_img/ed7e43efd28eba896f90b94ff1ebc06f.png
Mopemope,Mopemope,LeaF,s,s,15,https://piugame.com/data/song_img/f720e52b1bb6625bd869df634102c20b.png
Beethoven Virus,Beethoven Virus,BanYa,s,s,06,https://piugame.com/data/song_img/a7b3d3aadddc0fce1160f509054f1686.png
Horang Pungryuga,Horang Pungryuga,Sangnoksu feat. HANANA,s,s,07,https://piugame.com/data/song_img/ff5e51e70c41cfb7d92c5ee7a7f4dd9c.png
Halloween Party ~Multiverse~,Halloween Party ~Multiverse~,SHK,s,s,08,https://piugame.com/data/song_img/6175376a00ff0d561bab24934e04b782.png
Athena's Shield,Athena's Shield,Jehezukiel,s,s,16,https://piugame.com/data/song_img/e9d9f977024488f5bb31c9e203621e84.png
Earendel,Earendel,Palami feat.neur6sia,d,d,21,https://piugame.com/data/song_img/972549a9c03d8cc569270252aa405cf8.png
Euphorianic,Euphorianic,SHK,d,d,18,https://piugame.com/data/song_img/7e1af52be6d8b4e147d2a0ebbf54ef98.png
Wedding Crashers,Wedding Crashers,SHK,s,s,10,https://piugame.com/data/song_img/a916721935bb9c8c55800fbbe556ae90.png
Uh-Heung,Uh-Heung,DKZ,s,s,20,https://piugame.com/data/song_img/9095d45d33d1c8cf8495c1295604e0af.png
Horang Pungryuga,Horang Pungryuga,Sangnoksu feat. HANANA,s,s,19,https://piugame.com/data/song_img/ff5e51e70c41cfb7d92c5ee7a7f4dd9c.png
CRUSH,CRUSH,ZEROBASEONE,s,s,10,https://piugame.com/data/song_img/9bc09f5b3630ecbfdb72ae72460e4d40.png
hercules,hercules,Abel,s,s,24,https://piugame.com/data/song_img/81ffa563de8fddbafbaf8f84afa94263.png
Yeo rae a,Yeo rae a,SID-SOUND,s,s,01,https://piugame.com/data/song_img/1fbb103bbc7d1a94d6e994b27c2e6b9a.png
VECTOR,VECTOR,Zekk,s,s,14,https://piugame.com/data/song_img/ab914c8ca7030b776ec3cd3ad7dad3e9.png
Appassionata,Appassionata,Cashew x D_AAN x Jehezukiel,d,d,25,https://piugame.com/data/song_img/8b8164ae45412112841142145c7067d3.png
MEGAHEARTZ,MEGAHEARTZ,DJ Noriken,d,d,25,https://piugame.com/data/song_img/557ee99561f8a1522c7c87f2a4a11a4e.png
Pneumonoultramicroscopicsilicovolcanoconiosis ft. Kagamine Len/GUMI,Pneumonoultramicroscopicsilicovolcanoconiosis ft. Kagamine Len/GUMI,DASU,d,d,22,https://piugame.com/data/song_img/3f60d49fc1d14e5cfa51e8c90eec847b.png
Bubble,Bubble,STAYC,d,d,17,https://piugame.com/data/song_img/9b71130dbd5410cfb920d6a7fa4e0615.png
Etude Op 10-4,Etude Op 10-4,MAX,s,s,22,https://piugame.com/data/song_img/584749a3cecd3f4b5714df28cd502d14.png
8 6,8 6,DASU,s,s,12,https://piugame.com/data/song_img/5d936b10017adb5582723dec723351d5.png
STAGER,STAGER,Ras,s,s,19,https://piugame.com/data/song_img/07e7d5fd7daa31f830fea74250cc2186.png
BOCA,BOCA,Dreamcatcher,s,s,14,https://piugame.com/data/song_img/eb5af940defb17449259e75e16926870.png
hercules,hercules,Abel,s,s,19,https://piugame.com/data/song_img/81ffa563de8fddbafbaf8f84afa94263.png
YOU AND I,YOU AND I,Dreamcatcher,s,s,07,https://piugame.com/data/song_img/348076ff6d242d366c6d8240e538b454.png
MEGAHEARTZ,MEGAHEARTZ,DJ Noriken,d,d,18,https://piugame.com/data/song_img/557ee99561f8a1522c7c87f2a4a11a4e.png
Discord,Discord,QWER,d,d,14,https://piugame.com/data/song_img/468a5036181f048540d85bfb210b4486.png
Euphorianic,Euphorianic,SHK,d,d,10,https://piugame.com/data/song_img/7e1af52be6d8b4e147d2a0ebbf54ef98.png
TOMBOY,TOMBOY,(G)I-DLE,d,d,22,https://piugame.com/data/song_img/ec342950e66150e76a00b09492dfda3c.png
MEGAHEARTZ,MEGAHEARTZ,DJ Noriken,s,s,21,https://piugame.com/data/song_img/557ee99561f8a1522c7c87f2a4a11a4e.png
Chase Me,Chase Me,Dreamcatcher,s,s,09,https://piugame.com/data/song_img/cd73da06e335afc98fac9e4609eedb2c.png
MURDOCH,MURDOCH,WONDERTRAVELER Project,s,s,18,https://piugame.com/data/song_img/8eb8a3021756670ce067a3ef7cfb9f2a.png
VECTOR,VECTOR,Zekk,s,s,08,https://piugame.com/data/song_img/ab914c8ca7030b776ec3cd3ad7dad3e9.png
wither garden,wither garden,uma feat. Kanon Tachibana,s,s,14,https://piugame.com/data/song_img/a65ed99146745b6bb879e92af66517fb.png
Altale,Altale,sakuzyo,d,d,23,https://piugame.com/data/song_img/3aed0157e26dfa040bf84ae1167a22d5.png
Teddy Bear,Teddy Bear,STAYC,s,s,14,https://piugame.com/data/song_img/5c0a9e5e699863547ef7fa8d6485fc4a.png
Violet Perfume,Violet Perfume,SHK,s,s,13,https://piugame.com/data/song_img/b56c4919c761edb184564ea723b74e47.png
Neo Catharsis,Neo Catharsis,TAG underground overlay,s,s,22,https://piugame.com/data/song_img/14cd5d7a3df1f12b82bccec2faea2705.png
Teddy Bear,Teddy Bear,STAYC,s,s,06,https://piugame.com/data/song_img/5c0a9e5e699863547ef7fa8d6485fc4a.png
Super Fantasy,Super Fantasy,SHK,s,s,16,https://piugame.com/data/song_img/3c8de1e739b5d74edde29b76f4d65d77.png
MilK,MilK,Morimori Atsushi,s,s,11,https://piugame.com/data/song_img/4f6cd22fb830dcc99d53fcd91066e255.png
TOMBOY,TOMBOY,(G)I-DLE,s,s,19,https://piugame.com/data/song_img/ec342950e66150e76a00b09492dfda3c.png
Uh-Heung,Uh-Heung,DKZ,d,d,21,https://piugame.com/data/song_img/9095d45d33d1c8cf8495c1295604e0af.png
Conflict,Conflict,Siromaru + Cranky,s,s,17,https://piugame.com/data/song_img/9cfb61d5d762f490df901dc25a06db3f.png
Earendel,Earendel,Palami feat.neur6sia,s,s,12,https://piugame.com/data/song_img/972549a9c03d8cc569270252aa405cf8.png
Earendel,Earendel,Palami feat.neur6sia,d,d,24,https://piugame.com/data/song_img/972549a9c03d8cc569270252aa405cf8.png
Stardream -Eurobeat Remix-,Stardream -Eurobeat Remix-,MAX x Cashew x Dave Rodgers,s,s,17,https://piugame.com/data/song_img/1e7f149bb81b419a51d930540d002bec.png
Energy Synergy Matrix,Energy Synergy Matrix,Tanchiky,s,s,07,https://piugame.com/data/song_img/9a9a1a662444b7305346e031dad8be2e.png
Neo Catharsis,Neo Catharsis,TAG underground overlay,s,s,20,https://piugame.com/data/song_img/14cd5d7a3df1f12b82bccec2faea2705.png
Amor Fati,Amor Fati,Yeon Ja Kim,s,s,15,https://piugame.com/data/song_img/46f545d32d421f3b6d7bd7d67531173e.png
Chobit Flavor,Chobit Flavor,aran & t+pazolite,s,s,19,https://piugame.com/data/song_img/0da2130360d6066534052ce19789e013.png
Showdown,Showdown,litmus*,s,s,20,https://piugame.com/data/song_img/7387703a9867124dd6159fd3ee0b8094.png
Airplane,Airplane,TYPHOON,s,s,15,https://piugame.com/data/song_img/f47eb7519299f8c8e848d95c6cc74967.png
Versailles,Versailles,HyuN & MIIM,s,s,16,https://piugame.com/data/song_img/305329152cdd89f6229dec2a3074c18b.png
Acquire,Acquire,ryhki,s,s,20,https://piugame.com/data/song_img/b41eaa298c4c19f0dedc11e75271e353.png
Destr0yer,Destr0yer,sakuzyo,d,d,20,https://piugame.com/data/song_img/1cdf3c4a70abd903f51f0f9e969830ee.png
Big Daddy,Big Daddy,USAO,d,d,23,https://piugame.com/data/song_img/3e3f713ed842b5e1efb9bb8e7c0d1a4d.png
R.I.P,R.I.P,eicateve,s,s,12,https://piugame.com/data/song_img/1fdba3fa2fd7fc9c3fef0593fb67897d.png
Chase Me,Chase Me,Dreamcatcher,s,s,15,https://piugame.com/data/song_img/cd73da06e335afc98fac9e4609eedb2c.png
VECTOR,VECTOR,Zekk,s,s,18,https://piugame.com/data/song_img/ab914c8ca7030b776ec3cd3ad7dad3e9.png
Athena's Shield,Athena's Shield,Jehezukiel,s,s,22,https://piugame.com/data/song_img/e9d9f977024488f5bb31c9e203621e84.png
Euphorianic,Euphorianic,SHK,s,s,19,https://piugame.com/data/song_img/7e1af52be6d8b4e147d2a0ebbf54ef98.png
STAGER,STAGER,Ras,d,d,18,https://piugame.com/data/song_img/07e7d5fd7daa31f830fea74250cc2186.png
Uh-Heung,Uh-Heung,DKZ,d,d,18,https://piugame.com/data/song_img/9095d45d33d1c8cf8495c1295604e0af.png
MEGAHEARTZ,MEGAHEARTZ,DJ Noriken,d,d,23,https://piugame.com/data/song_img/557ee99561f8a1522c7c87f2a4a11a4e.png
Viyella's Nightmare,Viyella's Nightmare,Laur,s,s,11,https://piugame.com/data/song_img/dde154d8a721c5d510b71c788d0b8673.png
Queencard,Queencard,(G)I-DLE,d,d,18,https://piugame.com/data/song_img/eb729c74a7b424a6598e6a18b5025346.png
Jogging,Jogging,LUCY,s,s,16,https://piugame.com/data/song_img/3adbc9e8d05b1d006a995cf3079330aa.png
Earendel,Earendel,Palami feat.neur6sia,d,d,15,https://piugame.com/data/song_img/972549a9c03d8cc569270252aa405cf8.png
STORM,STORM,KOYOTE,s,s,14,https://piugame.com/data/song_img/50c49e67d330d6bd6d84b04da8afaa2a.png
Bad Apple!! feat. Nomico,Bad Apple!! feat. Nomico,Masayoshi Minoshima,s,s,15,https://piugame.com/data/song_img/1c6e00d20fd612097ff9cae790e16827.png
Ultimatum,Ultimatum,Cosmograph,s,s,21,https://piugame.com/data/song_img/54a6474ee494e9b1748e1edd3affee0b.png
Fracture Temporelle,Fracture Temporelle,Kurokotei,s,s,18,https://piugame.com/data/song_img/4f176d4f60c502692f8e1b0715e495e2.png
CRUSH,CRUSH,ZEROBASEONE,s,s,14,https://piugame.com/data/song_img/9bc09f5b3630ecbfdb72ae72460e4d40.png
ELEVEN,ELEVEN,IVE,s,s,15,https://piugame.com/data/song_img/e0cf19dbb807e5d3f2efa3db5ca163a0.png
Horang Pungryuga,Horang Pungryuga,Sangnoksu feat. HANANA,s,s,21,https://piugame.com/data/song_img/ff5e51e70c41cfb7d92c5ee7a7f4dd9c.png
Flavor Step!,Flavor Step!,EmoCosine,s,s,14,https://piugame.com/data/song_img/2eecbab75fb2d9f0f95971ff487fc934.png
CHAOS AGAIN,CHAOS AGAIN,NAOKI underground -Ω-,s,s,21,https://piugame.com/data/song_img/df2bb22858f58b4cf088ce1866854f2d.png
MilK,MilK,Morimori Atsushi,s,s,15,https://piugame.com/data/song_img/4f6cd22fb830dcc99d53fcd91066e255.png
hercules,hercules,Abel,s,s,22,https://piugame.com/data/song_img/81ffa563de8fddbafbaf8f84afa94263.png
Queencard,Queencard,(G)I-DLE,d,d,20,https://piugame.com/data/song_img/eb729c74a7b424a6598e6a18b5025346.png
Little Munchkin,Little Munchkin,Castellia,s,s,08,https://piugame.com/data/song_img/d59295bf426a99e64848df63ced40717.png
iRELLiA,iRELLiA,HyuN,s,s,22,https://piugame.com/data/song_img/282c1e3e7427966fe98c2fb2accfa9d6.png
BOCA,BOCA,Dreamcatcher,s,s,09,https://piugame.com/data/song_img/eb5af940defb17449259e75e16926870.png
Halloween Party ~Multiverse~,Halloween Party ~Multiverse~,SHK,s,s,12,https://piugame.com/data/song_img/6175376a00ff0d561bab24934e04b782.png
PANDORA,PANDORA,MAVE:,d,d,20,https://piugame.com/data/song_img/45a186e942deff08bc88bf9141e2d1dd.png
Bubble,Bubble,STAYC,s,s,21,https://piugame.com/data/song_img/9b71130dbd5410cfb920d6a7fa4e0615.png
Airplane,Airplane,TYPHOON,s,s,13,https://piugame.com/data/song_img/f47eb7519299f8c8e848d95c6cc74967.png
Chobit Flavor,Chobit Flavor,aran & t+pazolite,s,s,22,https://piugame.com/data/song_img/0da2130360d6066534052ce19789e013.png
8 6 - FULL SONG -,8 6 - FULL SONG -,DASU,s,s,21,https://piugame.com/data/song_img/eb741a04f8157c320f930d95dceecd7b.png
Rush-More,Rush-More,litmus*,s,s,16,https://piugame.com/data/song_img/89ac6afc39e1dbaf27cede9586f53f2d.png
iRELLiA,iRELLiA,HyuN,s,s,24,https://piugame.com/data/song_img/282c1e3e7427966fe98c2fb2accfa9d6.png
Curiosity Overdrive,Curiosity Overdrive,t+pazolite,s,s,18,https://piugame.com/data/song_img/2cf6b048170d3446cbb27e722a1d805f.png
